288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
431500BIJ	taurine	taurine 0.5g
431400BIJ	taurine	taurine 1g
234701BIJ	taurolidine	taurolidine 2g
234801ACH	tegafur	tegafur 200mg
309600AGN	tegafur	tegafur 100mg
309600APD	tegafur	tegafur 100mg
309700ACH	tegafur	tegafur 100mg
375900AGN	tegafur	tegafur 150mg
364100AGN	tegafur	tegafur 200mg
234802BIJ	tegafur	tegafur 400mg
234901BIJ	teicoplanin	teicoplanin 200mg
235301ATB	tenoxicam	tenoxicam 10mg
235302ATB	tenoxicam	tenoxicam 20mg
235302BIJ	tenoxicam	tenoxicam 20mg
235401ACH	teprenone	teprenone 50mg
235502ATB	terazosin HCl	terazosin HCl 2mg
235603CCM	terbinafine	terbinafine 10mg
235601ATB	terbinafine	terbinafine 125mg
235701CCM	terbinafine HCl	terbinafine HCl 10mg
236201BIJ	testosterone enanthate	testosterone enanthate 250mg
236401BIJ	tetanus antitoxin	tetanus antitoxin 2000I.U
236702ACH	tetracycline HCl	tetracycline HCl 500mg
333400COS	tetrahydrozoline HCl	tetrahydrozoline HCl 250㎍
368701BIJ	tetrofosmin sulfosalicylate	tetrofosmin sulfosalicylate 0.49mg
312000ATB	tetroxoprim	tetroxoprim 100mg
368501BIJ	thallium chloride	thallium chloride 1mCi
237001ATB	theophylline	theophylline 100mg
237004ACR	theophylline	theophylline 300mg
237201ATR	theophylline	theophylline 400mg
237006ATR	theophylline	theophylline 600mg
445500BIJ	theophylline anhydrous	theophylline anhydrous 40mg
444000BIJ	theophylline anhydrous	theophylline anhydrous 80mg
444400BIJ	theophylline anhydrous	theophylline anhydrous 100mg
444800BIJ	theophylline anhydrous	theophylline anhydrous 160mg
422000BIJ	theophylline anhydrous	theophylline anhydrous 200mg
445200BIJ	theophylline anhydrous	theophylline anhydrous 80mg
443800BIJ	theophylline anhydrous	theophylline anhydrous 160mg
421700BIJ	theophylline anhydrous	theophylline anhydrous 200mg
444500BIJ	theophylline anhydrous	theophylline anhydrous 320mg
421900BIJ	theophylline anhydrous	theophylline anhydrous 400mg
445300BIJ	theophylline anhydrous	theophylline anhydrous 160mg
443900BIJ	theophylline anhydrous	theophylline anhydrous 320mg
444100BIJ	theophylline anhydrous	theophylline anhydrous 400mg
444600BIJ	theophylline anhydrous	theophylline anhydrous 640mg
444900BIJ	theophylline anhydrous	theophylline anhydrous 800mg
445400BIJ	theophylline anhydrous	theophylline anhydrous 200mg
421500BIJ	theophylline anhydrous	theophylline anhydrous 400mg
444200BIJ	theophylline anhydrous	theophylline anhydrous 500mg
421800BIJ	theophylline anhydrous	theophylline anhydrous 800mg
445000BIJ	theophylline anhydrous	theophylline anhydrous 1000mg
422200BIJ	theophylline anhydrous	theophylline anhydrous 400mg
421600BIJ	theophylline anhydrous	theophylline anhydrous 800mg
444300BIJ	theophylline anhydrous	theophylline anhydrous 1000mg
444700BIJ	theophylline anhydrous	theophylline anhydrous 1600mg
445100BIJ	theophylline anhydrous	theophylline anhydrous 2000mg
422100BIJ	theophylline anhydrous	theophylline anhydrous 800mg
254400ACH	thiamine nitrate	thiamine nitrate 50mg
301600ATB	thiamine nitrate	thiamine nitrate 1.5mg
237502BIJ	thiamphenicol glycinate	thiamphenicol glycinate 500mg
237501BIJ	thiamphenicol glycinate	thiamphenicol glycinate 1g
256700ATB	thiocolchicoside	thiocolchicoside 4mg
237701BIJ	thiocolchicoside	thiocolchicoside 4mg
313500BIJ	thiopental sodium	thiopental sodium 500mg
238202BIJ	thrombin	thrombin 1000U
238301BIJ	thromboplastin	thromboplastin 50mg
238401ASY	thymomodulin	thymomodulin 4mg
238403ALQ	thymomodulin	thymomodulin 6mg
238402ACH	thymomodulin	thymomodulin 80mg
238501BIJ	thymopentin	thymopentin 50mg
238801ATB	tiapride HCl	tiapride HCl 100mg
238801BIJ	tiapride HCl	tiapride HCl 100mg
238901ATB	tiaprofenic acid	tiaprofenic acid 200mg
238902ACR	tiaprofenic acid	tiaprofenic acid 300mg
238901BIJ	tiaprofenic acid	tiaprofenic acid 200mg
329700BIJ	ticarcillin sodium	ticarcillin sodium 1.5g
329800BIJ	ticarcillin sodium	ticarcillin sodium 3g
239201ATB	ticlopidine HCl	ticlopidine HCl 100mg
239202ATB	ticlopidine HCl	ticlopidine HCl 250mg
239607COS	timolol maleate	timolol maleate 2.74mg
239603COO	timolol maleate	timolol maleate 1.37mg
239601COS	timolol maleate	timolol maleate 3.42mg
239602COS	timolol maleate	timolol maleate 6.83mg
423300COS	timolol maleate	timolol maleate 5mg
371001BIJ	tin chloride	tin chloride 2H2O 0.15mg
368801BIJ	tin fluoride	tin fluoride 125㎍
239801ATB	tinidazole	tinidazole 150mg
239802ATB	tinidazole	tinidazole 300mg
240102ACH	tiquizium bromide	tiquizium bromide 5mg
240101ACH	tiquizium bromide	tiquizium bromide 10mg
240101AGN	tiquizium bromide	tiquizium bromide 10mg
240302BIJ	tiropramide HCl	tiropramide HCl 50mg
240401BIJ	"tissue ext., specific"	"tissue ext., specific 60mg"
240801COS	tobramycin	tobramycin 3mg
240906BIJ	tobramycin sulfate	tobramycin sulfate 60mg
240907BIJ	tobramycin sulfate	tobramycin sulfate 80mg
240908BIJ	tobramycin sulfate	tobramycin sulfate 90mg
240901BIJ	tobramycin sulfate	tobramycin sulfate 100mg
240903BIJ	tobramycin sulfate	tobramycin sulfate 150mg
240904BIJ	tobramycin sulfate	tobramycin sulfate 160mg
240905BIJ	tobramycin sulfate	tobramycin sulfate 320mg
328800BIJ	tobramycin sulfate	tobramycin sulfate 80mg
356000ATB	tocopherol acetate	tocopherol acetate 4.53I.U
300200ACS	tocopherol acetate	tocopherol acetate 300mg
241401BIJ	tolazoline HCl	tolazoline HCl 10mg
241601CLQ	tolnaftate	tolnaftate 10mg
241701ATB	tolperisone HCl	tolperisone HCl 100mg
241701BIJ	tolperisone HCl	tolperisone HCl 100mg
357102ATB	tolterodine tartrate	tolterodine tartrate 2mg
242002ATB	torasemide	torasemide 2.5mg
242003ATB	torasemide	torasemide 5mg
242001ATB	torasemide	torasemide 10mg
242002ATB	torasemide	torasemide 2.5mg
242003ATB	torasemide	torasemide 5mg
242001ATB	torasemide	torasemide 10mg
242101ATB	toremifene citrate	toremifene citrate 40mg
242202ATB	tosufloxacin tosylate	tosufloxacin tosylate 75mg
242301ASY	tramadol HCl	tramadol HCl 100mg
242303BIJ	tramadol HCl	tramadol HCl 50mg
242301BIJ	tramadol HCl	tramadol HCl 100mg
242302BIJ	tramadol HCl	tramadol HCl 150mg
403000ATB	tranexamic acid	tranexamic acid 125mg
242501ACH	tranexamic acid	tranexamic acid 250mg
242503BIJ	tranexamic acid	tranexamic acid 250mg
242504BIJ	tranexamic acid	tranexamic acid 500mg
242502BIJ	tranexamic acid	tranexamic acid 1g
242702ATB	trapidil	trapidil 50mg
243302COM	triamcinolone acetonide	triamcinolone acetonide 1mg
243303BIJ	triamcinolone acetonide	triamcinolone acetonide 40mg
243305BIJ	triamcinolone acetonide	triamcinolone acetonide 50mg
243301BIJ	triamcinolone acetonide	triamcinolone acetonide 200mg
342800CCM	triamcinolone acetonide	triamcinolone acetonide 1mg
342800COM	triamcinolone acetonide	triamcinolone acetonide 1mg
343600CCM	triamcinolone acetonide	triamcinolone acetonide 1mg
243304CCM	triamcinolone acetonide	triamcinolone acetonide 1mg
294500ATB	trifluoperazine HCl	trifluoperazine HCl 1mg
294500ATB	trifluoperazine HCl	trifluoperazine HCl 1mg
294500ATB	trifluoperazine HCl	trifluoperazine HCl 1mg
243901BIJ	triflupromazine HCl	triflupromazine HCl 10mg
244001COS	trifluridine	trifluridine 10mg
244304ASY	trimebutine maleate	trimebutine maleate 4.8mg
244301ATB	trimebutine maleate	trimebutine maleate 100mg
244305ATB	trimebutine maleate	trimebutine maleate 150mg
295600ACS	trimebutine maleate	trimebutine maleate 100mg
244501ATB	trimetazidine	trimetazidine 2HCl 20mg
454403ACH	trimethobenzamide HCl	trimethobenzamide HCl 300mg
311300ATB	trimethoprim	trimethoprim 80mg
311400ASY	trimethoprim	trimethoprim 8mg
311500ACH	trimethoprim	trimethoprim 80mg
311500ATB	trimethoprim	trimethoprim 80mg
365000ACH	trimethoprim	trimethoprim 80mg
311700ACH	trimethoprim	trimethoprim 160mg
361000BIJ	trimethoprime	trimethoprime 160mg
356600ACS	trimetoquinol HCl	trimetoquinol HCl 2mg
419401BIJ	trimetrexate	trimetrexate 25mg
271800ATB	tripotassium dicitrato bismuthate	tripotassium dicitrato bismuthate 100mg
244803ALQ	tripotassium dicitrato bismuthate	tripotassium dicitrato bismuthate 60mg
244802ATB	tripotassium dicitrato bismuthate	tripotassium dicitrato bismuthate 300mg
271800ATB	tripotassium dicitrato bismuthate	tripotassium dicitrato bismuthate 100mg
271800ATB	tripotassium dicitrato bismuthate	tripotassium dicitrato bismuthate 100mg
245201BIJ	trometamol tiaprofenate	trometamol tiaprofenate 293mg
245301COS	tropicamide	tropicamide 10mg
332700COS	tropicamide	tropicamide 5mg
391501COS	troxerutin	troxerutin 50mg
356000ATB	ubidecarenone	ubidecarenone 10mg
423903BIJ	ulinastatin	ulinastatin 25000단위
423902BIJ	ulinastatin	ulinastatin 50000단위
423901BIJ	ulinastatin	ulinastatin 100000단위
309600AGN	uracil	uracil 224mg
309600APD	uracil	uracil 224mg
309700ACH	uracil	uracil 224mg
375900AGN	uracil	uracil 336mg
364100AGN	uracil	uracil 448mg
246001BIJ	urazamide	urazamide 200mg
246101CCM	urea	urea 200mg
246202BIJ	urofollitrophin	urofollitrophin 75I.U
246201BIJ	urofollitrophin	urofollitrophin 150I.U
246407BIJ	urokinase	urokinase 50KI.U
246401BIJ	urokinase	urokinase 100KI.U
246405BIJ	urokinase	urokinase 2만KI.U
246403BIJ	urokinase	urokinase 12만I.U
246404BIJ	urokinase	urokinase 25만I.U
246406BIJ	urokinase	urokinase 50만I.U
246408BIJ	urokinase	urokinase 100만I.U
246501ATB	ursodeoxycholic acid	ursodeoxycholic acid 100mg
247002ACS	valproic acid	valproic acid 500mg
247101ACH	valsartan	valsartan 80mg
247201ACH	vancomycin HCl	vancomycin HCl 125mg
247201BIJ	vancomycin HCl	vancomycin HCl 125mg
247204BIJ	vancomycin HCl	vancomycin HCl 250mg
247205BIJ	vancomycin HCl	vancomycin HCl 500mg
247203BIJ	vancomycin HCl	vancomycin HCl 1g
247301BIJ	vasopressin-8-lysine	vasopressin-8-lysine 20U
247402BIJ	vecuronium bromide	vecuronium bromide 4mg
247401BIJ	vecuronium bromide	vecuronium bromide 10mg
247503ATB	venlafaxin HCl	venlafaxin HCl 25mg
247601ACR	verapamil HCl	verapamil HCl 120mg
414901BIJ	vidarabine monohydrate	vidarabine monohydrate 1g
247701APD	vigabatrin	vigabatrin 500mg
247801BIJ	vinblastin sulfate	vinblastin sulfate 10mg
247901BIJ	vincamine	vincamine 15mg
248001BIJ	vincristin sulfate	vincristin sulfate 1mg
248003BIJ	vincristin sulfate	vincristin sulfate 2mg
248002BIJ	vincristin sulfate	vincristin sulfate 5mg
248202BIJ	vinorelbine	vinorelbine 50mg
248801BIJ	vitamin-K1	vitamin-K1 10mg
302600ATB	w20280281	w20280281
249201BIJ	water for inj. 	water for inj. 
249302COM	white petrolatum	white petrolatum 1g
249901ATB	zaltoprofen	zaltoprofen 80mg
250101ATB	zea mays L. ext.	zea mays L. ext. 35mg
250101ACS	zea mays L. ext.	zea mays L. ext. 35mg
250201ACH	zidovudine	zidovudine 100mg
250202ACH	zidovudine	zidovudine 250mg
250301CSS	zinc pyrithione	zinc pyrithione 20mg
320800BIJ	zinc sulfate	zinc sulfate 220mg/10ml
362600BIJ	zinc sulfate	zinc sulfate 220mg/30ml
393001COM	znic oxide	znic oxide 200mg
250501ATB	zolpidem	zolpidem 10mg
250501ATB	zolpidem	zolpidem 10mg
250702ATR	zolpidem tartarate	zolpidem tartarate 6.25mg
250703ATR	zolpidem tartarate	zolpidem tartarate 12.5mg
250702ATR	zolpidem tartarate	zolpidem tartarate 6.25mg
250703ATR	zolpidem tartarate	zolpidem tartarate 12.5mg
